Depth(ft)	GR (API)
8133	134.118372
8133.5	128.393023
8134	123.53814
8134.5	120.160233
8135	115.17069
8135.5	120.452299
8136	123.998372
8136.5	125.335581
8137	131.202093
8137.5	133.585
8138	135.380233
8138.5	139.132791
8139	143.074419
8139.5	143.713538
8140	142.452
8140.5	141.190462
8141	133.477209
8141.5	127.03814
8142	121.465116
8142.5	110.957209
8143	106.441279
8143.5	105.109884
8144	108.044483
8144.5	111.526279
8145	113.640698
8145.5	110.966279
8146	104.506977
8146.5	98.6265116
8147	96.5863953
8147.5	94.4244186
8148	90.1372727
8148.5	84.6062791
8149	75.737907
8149.5	68.4546512
8150	74.17
8150.5	80.0076744
8151	84.2053488
8151.5	80.0665116
8152	67.3318182
8152.5	51.5286047
8153	36.9597674
8153.5	40.272093
8154	48.192093
8154.5	59.89
8155	68.7662791
8155.5	87.3876744
8156	93.4248837
8156.5	92.4757471
8157	91.225814
8157.5	89.5048837
8158	87.6946512
8158.5	84.3674419
8159	78.7204651
8159.5	69.6769767
8160	72.3513953
8160.5	76.3190909
8161	81.087907
8161.5	83.3786047
8162	80.9893023
8162.5	76.79
8163	71.4602326
8163.5	70.8904651
8164	70.1617241
8164.5	69.2134483
8165	66.0555814
8165.5	59.6648837
8166	65.0718605
8166.5	70.2118605
8167	71.942907
8167.5	72.1347674
8168	72.3266279
8168.5	72.5184884
8169	74.49
8169.5	74.49
8170	73.8416279
8170.5	71.9346512
8171	73.3439535
8171.5	75.9109302
8172	78.4611628
8172.5	86.0675862
8173	88.331954
8173.5	90.607907
8174	91.785814
8174.5	91.4797674
8175	90.91
8175.5	89.0030233
8176	88.1639535
8176.5	89.5065517
8177	90.0697701
8177.5	86.3597674
8178	75.6234884
8178.5	71.3351163
8179	68.6904651
8179.5	74.6090698
8180	80.0318605
8180.5	85.495814
8181	87.5609302
8181.5	87.1527692
8182	86.6450769
8182.5	84.8827907
8183	80.3167442
8183.5	76.5411628
8184	72.6197674
8184.5	66.1465116
8185	54.7906977
8185.5	45.9345455
8186	36.9706977
8186.5	29.2593023
8187	27.4118605
8187.5	27.22
8188	27.22
8188.5	26.9530233
8189	25.9995349
8189.5	27.0436364
8190	29.9595349
8190.5	31.2918605
8191	32.1686047
8191.5	32.3546512
8192	32.7616279
8192.5	33.5290698
8193	35.5551163
8193.5	41.5783721
8194	49.8472093
8194.5	55.1076744
8195	62.5053488
8195.5	70.5686047
8196	76.0204651
8196.5	80.8934884
8197	84.8474419
8197.5	81.7890698
8198	82.2354545
8198.5	85.2255814
8199	92.1672093
8199.5	94.9262791
8200	95.81
8200.5	96.3306977
8201	94.6213953
8201.5	88.8586047
8202	78.5530233
8202.5	75.9758915
8203	76.3557364
8203.5	76.5309302
8204	75.2053488
8204.5	73.0472093
8205	68.4095349
8205.5	62.2095349
8206	53.5937209
8206.5	50.3265116
8207	47.747907
8207.5	46.614186
8208	50.5988372
8208.5	54.0588372
8209	54.8146512
8209.5	55.6318605
8210	56.6946512
8210.5	56.1248837
8211	51.6713953
8211.5	48.3053488
8212	47.7355814
8212.5	45.2739535
8213	43.1576744
8213.5	42.4604651
8214	43.344186
8214.5	44.227907
8215	47.0293023
8215.5	50.8723256
8216	57.5437209
8216.5	66.647907
8217	73.417907
8217.5	77.8911628
8218	82.0597674
8218.5	83.8902326
8219	84.6148837
8219.5	80.0706977
8220	67.895
8220.5	54.4430233
8221	47.3593023
8221.5	34.297907
8222	29.3663953
8222.5	26.8455814
8223	31.2409302
8223.5	35.7269767
8224	38.7427907
8224.5	42.0232558
8225	48.8095349
8225.5	61.0225581
8226	66.4706977
8226.5	70.085814
8227	71.7893023
8227.5	69.0974419
8228	64.2930233
8228.5	55.6232558
8229	46.3227907
8229.5	40.9274419
8230	38.4623256
8230.5	39.2487209
8231	41.0886047
8231.5	45.0653488
8232	51.8134884
